by,descendants,id,kids,score,time,title,type,url,text
bertman,47.0,40282856,"[40284084, 40286616, 40284188, 40286096, 40284118, 40283612, 40284618, 40283945, 40284306]",153,1715062255,We've been put in the vibe space,story,https://vickiboykis.com/2024/05/06/weve-been-put-in-the-vibe-space/,
bill_john,1.0,40292632,[40294565],8,1715123918,Show HN: Funance – An Investment Simulator Game,story,https://www.funance.lol/,There is also a weekly blog which is a work in progress...
yurivish,0.0,40294220,,3,1715141148,Nominative Determinism,story,https://en.wikipedia.org/wiki/Nominative_determinism,
smusamashah,1.0,40287081,[40291787],12,1715096425,2DGS: 2D Gaussian Splatting for Geometrically Accurate Radiance Fields,story,https://surfsplatting.github.io/,
andrewp123,25.0,40292452,"[40293244, 40294026, 40292823, 40293162, 40293003, 40293322, 40293314, 40293917, 40293382, 40294081]",35,1715122327,Unix forking the universe by running IBM's free online quantum computer,story,https://parel.es/blog/quantum-dice,
thunderbong,0.0,40266062,,17,1714926533,Advance in light-based computing shows capabilities for future smart cameras,story,https://newsroom.ucla.edu/releases/light-based-computing-advance-capabilities-future-smart-cameras,
robblack,2.0,40294481,[40294495],6,1715144481,More Tesla employees laid off as bloodbath enters its fourth week,story,https://www.theverge.com/2024/5/6/24150274/tesla-layoffs-employee-fourth-week-elon-musk-ev-demand,
nopakos,2.0,40294755,"[40294858, 40294778]",3,1715147401,Tesla bought over $2M worth of Lidar sensors from Luminar this year,story,https://www.theverge.com/2024/5/7/24151497/tesla-lidar-bought-luminar-elon-musk-sensor-autonomous,
P_qRs,51.0,40283139,"[40284408, 40284655, 40284338, 40283928, 40284617, 40283167, 40285214, 40283140, 40289097]",151,1715065654,GCC 14.1,story,https://gcc.gnu.org/gcc-14/,
refset,11.0,40275997,"[40278736, 40276030, 40290823, 40282238, 40281039]",157,1715010489,Clojure: Managing throughput with virtual threads,story,https://andersmurphy.com/2024/05/06/clojure-managing-throughput-with-virtual-threads.html,
boilerupnc,1.0,40291801,[40291802],5,1715117785,IBM's Granite code model family is going open source – IBM Research,story,https://research.ibm.com/blog/granite-code-models-open-source,
